ID Transação;ID Cliente;Data Compra;Data Envio;Tempo Entrega (dias);Região;Categoria Produto;Produto;Forma Pagamento;Valor Compra (R$);Reclamação;Comentários;Nota
31;CUST00031;26/05/25;30/05/25;4;Nordeste;Limpeza Doméstica;Desinfetante 1L;Cartão Crédito;547;Não;-;3
32;CUST00032;17/06/25;19/06/25;2;Centro-Oeste;Limpeza Doméstica;Desinfetante 1L;PIX;470;Não;-;3
33;CUST00033;05/06/25;08/06/25;3;Centro-Oeste;Higiene Pessoal;Creme Dental 90g;Cartão Débito;473;Não;Entrega rápida e sem problemas;4
34;CUST00034;26/06/25;01/07/25;5;Nordeste;Higiene Pessoal;Sabonete em Barra;PIX;267;Não;-;3
35;CUST00035;19/05/25;20/05/25;1;Centro-Oeste;Bebidas;Refrigerante Cola 2L;Cartão Crédito;949;Sim;Atendimento ruim;2
36;CUST00036;03/06/25;05/06/25;2;Nordeste;Higiene Pessoal;Shampoo 400ml;PIX;1722;Não;-;3
37;CUST00037;23/06/25;25/06/25;2;Centro-Oeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;442;Sim;Produto danificado;1
38;CUST00038;20/06/25;21/06/25;1;Nordeste;Higiene Pessoal;Creme Dental 90g;Cartão Débito;548;Não;Compra sem complicações;4
39;CUST00039;22/05/25;27/05/25;5;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;639;Não;Atendimento excelente;5
40;CUST00040;23/05/25;25/05/25;2;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;135;Não;-;3
41;CUST00041;08/06/25;15/06/25;7;Norte;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;1870;Não;-;3
42;CUST00042;25/05/25;28/05/25;3;Sudeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Débito;1717;Não;-;3
43;CUST00043;21/06/25;22/06/25;1;Centro-Oeste;Higiene Pessoal;Sabonete em Barra;PIX;174;Não;-;3
44;CUST00044;31/05/25;05/06/25;5;Norte;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1498;Não;-;3
45;CUST00045;26/06/25;27/06/25;1;Sudeste;Limpeza Doméstica;Sabão em Pó 1kg;Dinheiro;841;Não;-;3
46;CUST00046;30/05/25;04/06/25;5;Norte;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1403;Sim;Produto danificado;1
47;CUST00047;24/05/25;25/05/25;1;Sudeste;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;451;Não;-;3
48;CUST00048;19/05/25;21/05/25;2;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1663;Não;-;3
49;CUST00049;15/05/25;17/05/25;2;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;880;Não;Produto conforme anunciado;4
50;CUST00050;19/05/25;27/05/25;8;Sul;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;447;Sim;Atraso na entrega;2
51;CUST00051;18/06/25;19/06/25;1;Centro-Oeste;Bebidas;Refrigerante Cola 2L;PIX;908;Não;-;3
52;CUST00052;31/05/25;04/06/25;4;Centro-Oeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Débito;2005;Não;-;3
53;CUST00053;25/06/25;01/07/25;6;Norte;Limpeza Doméstica;Detergente Líquido 500ml;Dinheiro;591;Não;-;3
54;CUST00054;10/06/25;11/06/25;1;Sudeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;327;Sim;Produto diferente do pedido;1
55;CUST00055;29/06/25;01/07/25;2;Centro-Oeste;Bebidas;Água Mineral 1,5L;Cartão Débito;263;Não;-;3
56;CUST00056;21/05/25;27/05/25;6;Sul;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;1653;Não;-;3
57;CUST00057;15/06/25;23/06/25;8;Norte;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;389;Não;-;3
58;CUST00058;06/06/25;14/06/25;8;Norte;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Débito;2067;Não;-;3
59;CUST00059;13/06/25;18/06/25;5;Centro-Oeste;Bebidas;Água Mineral 1,5L;Cartão Débito;381;Não;Produto conforme anunciado;5
60;CUST00060;03/06/25;05/06/25;2;Sudeste;Limpeza Doméstica;Esponja Múltipla;PIX;152;Não;-;3
61;CUST00061;16/06/25;25/06/25;9;Norte;Limpeza Doméstica;Detergente Líquido 500ml;PIX;496;Não;-;3
62;CUST00062;18/05/25;20/05/25;2;Sudeste;Higiene Pessoal;Sabonete em Barra;PIX;314;Não;-;3
63;CUST00063;30/05/25;04/06/25;5;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;792;Não;-;3
64;CUST00064;31/05/25;01/06/25;1;Sudeste;Limpeza Doméstica;Esponja Múltipla;Cartão Débito;123;Não;-;3
65;CUST00065;15/05/25;16/05/25;1;Nordeste;Higiene Pessoal;Sabonete em Barra;Dinheiro;278;Não;-;3
66;CUST00066;22/05/25;31/05/25;9;Norte;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;493;Não;-;3
67;CUST00067;08/06/25;14/06/25;6;Norte;Limpeza Doméstica;Esponja Múltipla;Cartão Débito;132;Não;-;3
68;CUST00068;18/05/25;28/05/25;10;Sul;Bebidas;Refrigerante Cola 2L;Cartão Crédito;1067;Não;Compra sem complicações;4
69;CUST00069;06/06/25;12/06/25;6;Norte;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;281;Não;-;3
70;CUST00070;24/06/25;04/07/25;10;Norte;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;279;Sim;Prazo de entrega excedido;2
71;CUST00071;20/05/25;22/05/25;2;Nordeste;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1225;Não;-;3
72;CUST00072;20/05/25;25/05/25;5;Sudeste;Bebidas;Suco de Laranja 1L;Cartão Crédito;811;Sim;Atendimento ruim;1
73;CUST00073;16/06/25;20/06/25;4;Nordeste;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;1777;Não;-;3
74;CUST00074;09/06/25;16/06/25;7;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Débito;764;Não;-;3
75;CUST00075;20/05/25;25/05/25;5;Norte;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1691;Não;-;3
76;CUST00076;12/06/25;17/06/25;5;Sudeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Débito;427;Não;-;3
77;CUST00077;30/05/25;07/06/25;8;Norte;Limpeza Doméstica;Sabão em Pó 1kg;PIX;1391;Não;-;3
78;CUST00078;12/06/25;17/06/25;5;Centro-Oeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1977;Não;-;3
79;CUST00079;20/06/25;30/06/25;10;Sul;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;2704;Não;-;3
80;CUST00080;10/06/25;15/06/25;5;Nordeste;Higiene Pessoal;Creme Dental 90g;PIX;270;Sim;Atendimento ruim;2
81;CUST00081;13/06/25;18/06/25;5;Sul;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;332;Não;-;3
82;CUST00082;26/05/25;02/06/25;7;Sul;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;544;Não;-;3
83;CUST00083;22/06/25;24/06/25;2;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1292;Não;-;3
84;CUST00084;29/05/25;04/06/25;6;Sul;Bebidas;Refrigerante Cola 2L;PIX;846;Não;-;3
85;CUST00085;19/06/25;22/06/25;3;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;PIX;426;Não;-;3
86;CUST00086;30/06/25;07/07/25;7;Sul;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;771;Não;-;3
87;CUST00087;26/05/25;31/05/25;5;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1994;Sim;Cobrança duplicada;2
88;CUST00088;23/06/25;01/07/25;8;Sul;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;186;Não;-;3
89;CUST00089;03/06/25;08/06/25;5;Norte;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;607;Não;-;3
90;CUST00090;16/05/25;20/05/25;4;Sudeste;Bebidas;Suco de Laranja 1L;Cartão Crédito;789;Não;-;3
91;CUST00091;20/06/25;25/06/25;5;Sul;Alimentos Básicos;Farinha de Trigo 1kg;PIX;795;Sim;Produto danificado;2
92;CUST00092;26/05/25;04/06/25;9;Norte;Bebidas;Água Mineral 1,5L;Cartão Crédito;473;Não;-;3
93;CUST00093;20/06/25;25/06/25;5;Centro-Oeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;1685;Não;-;3
94;CUST00094;17/06/25;25/06/25;8;Sul;Bebidas;Suco de Laranja 1L;PIX;530;Não;-;3
95;CUST00095;13/06/25;15/06/25;2;Centro-Oeste;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;420;Sim;Produto diferente do pedido;2
96;CUST00096;08/06/25;12/06/25;4;Centro-Oeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1589;Sim;Produto diferente do pedido;1
97;CUST00097;25/06/25;27/06/25;2;Nordeste;Bebidas;Refrigerante Cola 2L;PIX;898;Não;-;3
98;CUST00098;07/06/25;10/06/25;3;Nordeste;Alimentos Básicos;Farinha de Trigo 1kg;PIX;433;Não;-;3
99;CUST00099;28/06/25;02/07/25;4;Nordeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;280;Não;-;3
100;CUST00100;24/05/25;29/05/25;5;Norte;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1278;Não;-;3
101;CUST00101;19/06/25;25/06/25;6;Sul;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;661;Não;-;3
102;CUST00102;07/06/25;11/06/25;4;Nordeste;Bebidas;Água Mineral 1,5L;PIX;235;Não;-;3
103;CUST00103;25/05/25;01/06/25;7;Norte;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;1630;Não;-;3
104;CUST00104;06/06/25;16/06/25;10;Sul;Limpeza Doméstica;Sabão em Pó 1kg;PIX;701;Não;-;3
105;CUST00105;19/05/25;28/05/25;9;Norte;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Débito;746;Não;Ótima qualidade;5
106;CUST00106;30/05/25;04/06/25;5;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;428;Não;-;3
107;CUST00107;14/06/25;15/06/25;1;Centro-Oeste;Higiene Pessoal;Shampoo 400ml;PIX;1173;Não;-;3
108;CUST00108;28/05/25;29/05/25;1;Nordeste;Limpeza Doméstica;Sabão em Pó 1kg;PIX;959;Não;-;3
109;CUST00109;24/06/25;29/06/25;5;Nordeste;Limpeza Doméstica;Esponja Múltipla;PIX;178;Não;-;3
110;CUST00110;14/06/25;24/06/25;10;Sul;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;268;Não;-;3
111;CUST00111;12/06/25;15/06/25;3;Sudeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;2786;Não;-;3
112;CUST00112;25/05/25;02/06/25;8;Norte;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;655;Não;-;3
113;CUST00113;06/06/25;13/06/25;7;Norte;Limpeza Doméstica;Desinfetante 1L;Cartão Crédito;457;Não;-;3
114;CUST00114;24/05/25;29/05/25;5;Norte;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;540;Não;Ótima qualidade;4
115;CUST00115;21/05/25;22/05/25;1;Sudeste;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;605;Não;-;3
116;CUST00116;22/06/25;25/06/25;3;Nordeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1869;Sim;Atraso na entrega;2
117;CUST00117;22/06/25;25/06/25;3;Centro-Oeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;840;Não;-;3
118;CUST00118;26/06/25;30/06/25;4;Nordeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Débito;2238;Não;Ótima qualidade;5
119;CUST00119;18/06/25;23/06/25;5;Nordeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;762;Não;-;3
120;CUST00120;10/06/25;11/06/25;1;Centro-Oeste;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;350;Não;-;3
121;CUST00121;24/05/25;26/05/25;2;Sudeste;Limpeza Doméstica;Desinfetante 1L;PIX;678;Não;-;3
122;CUST00122;10/06/25;15/06/25;5;Sudeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;427;Sim;Cobrança duplicada;1
123;CUST00123;23/06/25;27/06/25;4;Sudeste;Bebidas;Água Mineral 1,5L;Cartão Crédito;285;Não;Ótima qualidade;4
124;CUST00124;17/06/25;25/06/25;8;Norte;Bebidas;Suco de Laranja 1L;Cartão Crédito;808;Não;-;3
125;CUST00125;25/06/25;29/06/25;4;Centro-Oeste;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;511;Não;-;3
126;CUST00126;13/06/25;15/06/25;2;Centro-Oeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;2043;Não;-;3
127;CUST00127;15/05/25;20/05/25;5;Norte;Bebidas;Suco de Laranja 1L;Cartão Crédito;512;Não;-;3
128;CUST00128;05/06/25;09/06/25;4;Nordeste;Bebidas;Refrigerante Cola 2L;PIX;1006;Não;-;3
129;CUST00129;14/06/25;24/06/25;10;Norte;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1465;Não;-;3
130;CUST00130;15/05/25;19/05/25;4;Centro-Oeste;Bebidas;Suco de Laranja 1L;Cartão Crédito;940;Não;-;3
131;CUST00131;18/06/25;23/06/25;5;Centro-Oeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1727;Não;-;3
132;CUST00132;07/06/25;10/06/25;3;Centro-Oeste;Bebidas;Suco de Laranja 1L;Cartão Débito;549;Não;-;3
133;CUST00133;05/06/25;07/06/25;2;Nordeste;Higiene Pessoal;Shampoo 400ml;Dinheiro;1173;Sim;Atendimento ruim;1
134;CUST00134;18/05/25;19/05/25;1;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;108;Não;-;3
135;CUST00135;18/06/25;23/06/25;5;Centro-Oeste;Limpeza Doméstica;Desinfetante 1L;PIX;466;Sim;Embalagem violada;2
136;CUST00136;25/05/25;29/05/25;4;Centro-Oeste;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1596;Não;-;3
137;CUST00137;29/06/25;04/07/25;5;Nordeste;Limpeza Doméstica;Esponja Múltipla;PIX;280;Sim;Quantidade incorreta;2
138;CUST00138;28/06/25;01/07/25;3;Nordeste;Higiene Pessoal;Sabonete em Barra;Cartão Débito;211;Não;-;3
139;CUST00139;13/06/25;14/06/25;1;Centro-Oeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;1358;Não;-;3
140;CUST00140;25/05/25;02/06/25;8;Sul;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;655;Não;-;3
141;CUST00141;13/06/25;14/06/25;1;Centro-Oeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;511;Não;-;3
142;CUST00142;23/06/25;26/06/25;3;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;491;Não;-;3
143;CUST00143;28/06/25;03/07/25;5;Sul;Bebidas;Água Mineral 1,5L;Cartão Crédito;279;Sim;Produto danificado;1
144;CUST00144;17/05/25;18/05/25;1;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;PIX;718;Não;-;3
145;CUST00145;13/06/25;23/06/25;10;Sul;Higiene Pessoal;Sabonete em Barra;PIX;349;Não;-;3
146;CUST00146;10/06/25;20/06/25;10;Norte;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Débito;531;Não;-;3
147;CUST00147;04/06/25;06/06/25;2;Centro-Oeste;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;2820;Não;-;3
148;CUST00148;06/06/25;09/06/25;3;Centro-Oeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;357;Não;-;3
149;CUST00149;29/06/25;01/07/25;2;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1684;Não;-;3
150;CUST00150;03/06/25;12/06/25;9;Norte;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Débito;1633;Não;-;3
151;CUST00151;30/05/25;31/05/25;1;Centro-Oeste;Bebidas;Suco de Laranja 1L;Cartão Débito;533;Não;-;3
152;CUST00152;28/05/25;31/05/25;3;Centro-Oeste;Bebidas;Suco de Laranja 1L;Cartão Crédito;680;Não;-;3
153;CUST00153;15/06/25;23/06/25;8;Sul;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1293;Não;-;3
154;CUST00154;01/06/25;05/06/25;4;Sudeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;317;Não;-;3
155;CUST00155;24/06/25;04/07/25;10;Norte;Bebidas;Refrigerante Cola 2L;PIX;656;Não;-;3
156;CUST00156;17/06/25;20/06/25;3;Nordeste;Limpeza Doméstica;Detergente Líquido 500ml;PIX;241;Não;-;3
157;CUST00157;31/05/25;05/06/25;5;Sul;Alimentos Básicos;Farinha de Trigo 1kg;Dinheiro;880;Não;-;3
158;CUST00158;19/06/25;20/06/25;1;Sudeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;2634;Não;-;3
159;CUST00159;25/05/25;27/05/25;2;Centro-Oeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;168;Não;-;3
160;CUST00160;24/05/25;25/05/25;1;Nordeste;Higiene Pessoal;Shampoo 400ml;PIX;1561;Sim;Prazo de entrega excedido;2
161;CUST00161;10/06/25;13/06/25;3;Sudeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;1012;Não;-;3
162;CUST00162;31/05/25;08/06/25;8;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;544;Não;-;3
163;CUST00163;02/06/25;08/06/25;6;Norte;Limpeza Doméstica;Detergente Líquido 500ml;PIX;220;Não;-;3
164;CUST00164;10/06/25;18/06/25;8;Norte;Higiene Pessoal;Sabonete em Barra;Cartão Débito;391;Não;-;3
165;CUST00165;03/06/25;06/06/25;3;Nordeste;Bebidas;Água Mineral 1,5L;Cartão Crédito;402;Não;-;3
166;CUST00166;25/05/25;01/06/25;7;Norte;Bebidas;Água Mineral 1,5L;PIX;437;Não;-;3
167;CUST00167;31/05/25;09/06/25;9;Sul;Limpeza Doméstica;Esponja Múltipla;Cartão Débito;223;Não;-;3
168;CUST00168;28/06/25;08/07/25;10;Norte;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1084;Não;-;3
169;CUST00169;30/05/25;04/06/25;5;Centro-Oeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1459;Não;-;3
170;CUST00170;27/06/25;03/07/25;6;Sul;Bebidas;Suco de Laranja 1L;PIX;553;Não;-;3
171;CUST00171;30/06/25;09/07/25;9;Norte;Higiene Pessoal;Creme Dental 90g;Cartão Débito;491;Sim;Produto diferente do pedido;1
172;CUST00172;01/06/25;02/06/25;1;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;406;Não;-;3
173;CUST00173;04/06/25;09/06/25;5;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;PIX;609;Não;-;3
174;CUST00174;28/06/25;06/07/25;8;Sul;Higiene Pessoal;Papel Higiênico c/12;Cartão Débito;1819;Não;Atendimento excelente;5
175;CUST00175;26/05/25;28/05/25;2;Sudeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;209;Não;-;3
176;CUST00176;05/06/25;06/06/25;1;Centro-Oeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;660;Não;-;3
177;CUST00177;07/06/25;17/06/25;10;Norte;Bebidas;Suco de Laranja 1L;Cartão Crédito;609;Não;-;3
178;CUST00178;28/06/25;03/07/25;5;Sul;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;564;Sim;Prazo de entrega excedido;2
179;CUST00179;01/06/25;09/06/25;8;Norte;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;680;Não;-;3
180;CUST00180;10/06/25;16/06/25;6;Norte;Bebidas;Água Mineral 1,5L;Dinheiro;393;Não;-;3
181;CUST00181;07/06/25;11/06/25;4;Centro-Oeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;692;Não;-;3
182;CUST00182;21/05/25;30/05/25;9;Norte;Alimentos Básicos;Farinha de Trigo 1kg;PIX;831;Sim;Atendimento ruim;1
183;CUST00183;22/06/25;26/06/25;4;Sudeste;Bebidas;Refrigerante Cola 2L;Cartão Crédito;1071;Não;-;3
184;CUST00184;09/06/25;14/06/25;5;Norte;Limpeza Doméstica;Desinfetante 1L;Cartão Crédito;644;Não;-;3
185;CUST00185;24/06/25;30/06/25;6;Sul;Bebidas;Suco de Laranja 1L;PIX;804;Não;-;3
186;CUST00186;17/05/25;23/05/25;6;Sul;Higiene Pessoal;Sabonete em Barra;PIX;336;Sim;Atraso na entrega;2
187;CUST00187;29/06/25;03/07/25;4;Nordeste;Higiene Pessoal;Sabonete em Barra;PIX;183;Não;-;3
188;CUST00188;13/06/25;16/06/25;3;Centro-Oeste;Alimentos Básicos;Feijão Carioca (1kg);Cartão Débito;636;Não;-;3
189;CUST00189;10/06/25;20/06/25;10;Sul;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;113;Não;-;3
190;CUST00190;18/06/25;22/06/25;4;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;PIX;669;Não;-;3
191;CUST00191;23/05/25;27/05/25;4;Sudeste;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;372;Não;-;3
192;CUST00192;16/05/25;17/05/25;1;Nordeste;Bebidas;Refrigerante Cola 2L;PIX;919;Não;-;3
193;CUST00193;17/06/25;24/06/25;7;Sul;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Débito;523;Não;-;3
194;CUST00194;28/06/25;30/06/25;2;Centro-Oeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Dinheiro;1603;Não;-;3
195;CUST00195;22/06/25;24/06/25;2;Centro-Oeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Débito;1420;Não;-;3
196;CUST00196;04/06/25;06/06/25;2;Nordeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1782;Não;-;3
197;CUST00197;20/06/25;26/06/25;6;Norte;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;293;Não;Compra sem complicações;5
198;CUST00198;01/06/25;04/06/25;3;Sudeste;Bebidas;Água Mineral 1,5L;Cartão Crédito;431;Não;-;3
199;CUST00199;17/05/25;19/05/25;2;Centro-Oeste;Limpeza Doméstica;Sabão em Pó 1kg;PIX;971;Não;-;3
200;CUST00200;25/06/25;26/06/25;1;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1568;Não;-;3
201;CUST00201;02/06/25;07/06/25;5;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;257;Não;-;3
202;CUST00202;19/05/25;28/05/25;9;Sul;Bebidas;Suco de Laranja 1L;Cartão Crédito;985;Não;-;3
